,all_data,formattedLocation,country
1517,"WrocÅaw, 53-241, PL, Poland","WrocÅaw, 53-241, PL",Poland
1518,"Santa Oliva, ES, Spain","Santa Oliva, ES",Spain
1519,"Dodge Center, MN, US, United States","Dodge Center, MN, US",United States of America
1520,"Cambridge, CB4, GB, United Kingdom","Cambridge, CB4, GB",United Kingdom
1521,"Chanhassen, MN, US, United States","Chanhassen, MN, US",United States of America
1522,"Stirling, SCT, GB, United Kingdom","Stirling, SCT, GB",United Kingdom
1523,"Pequot Lakes, MN, US, United States","Pequot Lakes, MN, US",United States of America
1524,"Allegan, MI, US, United States","Allegan, MI, US",United States of America
1525,"Berlin, Berlin, DE, Germany","Berlin, Berlin, DE",Germany
1526,"Middletown, NY, US, United States","Middletown, NY, US",United States of America
1527,"El Dorado Hills, CA, US, United States","El Dorado Hills, CA, US",United States of America
1528,"Schriever Air Force Base, CO, US, United States","Schriever Air Force Base, CO, US",United States of America
1529,"San Fernando, PH, Philippines","San Fernando, PH",Philippines
1530,"Leavenworth, KS, US, United States","Leavenworth, KS, US",United States of America
1531,"HÄlawa, HI, US, United States","HÄlawa, HI, US",United States of America
1532,"Elgin, IL, US, United States","Elgin, IL, US",United States of America
1533,"Township of Egg Harbor, NJ, US, United States","Township of Egg Harbor, NJ, US",United States of America
1534,"Atlantic, NC, US, United States","Atlantic, NC, US",United States of America
1535,"Milpitas, CA, US, United States","Milpitas, CA, US",United States of America
1536,"ConstanÈa, RO, Romania","ConstanÈa, RO",Romania
1537,"Killona, LA, US, United States","Killona, LA, US",United States of America
1538,"Provincie Vlaams-Brabant, BE, Belgium","Provincie Vlaams-Brabant, BE",Belgium
1539,"Montvale, NJ, US, United States","Montvale, NJ, US",United States of America
1540,"Abilene, TX, US, United States","Abilene, TX, US",United States of America
1541,"Alderley Edge, GB, United Kingdom","Alderley Edge, GB",United Kingdom
1542,"Axbridge, GB, United Kingdom","Axbridge, GB",United Kingdom
1543,"Petit Paris, FR, France","Petit Paris, FR",France
1544,"Wisconsin, WI, US, United States","Wisconsin, WI, US",United States of America
1545,"UK - SIT0818 QUADRANT HSE LONDON, London, Greater London, United Kingdom","UK - SIT0818 QUADRANT HSE LONDON, London, Greater London",United Kingdom
1546,"UK - SIT0975 WESTFERRY, London, Greater London, United Kingdom","UK - SIT0975 WESTFERRY, London, Greater London",United Kingdom
1547,"USA - SIT0998 PLANTATION, Plantation, Florida, United States","USA - SIT0998 PLANTATION, Plantation, Florida",United States of America
1548,"Colonial Heights, VA, US, United States","Colonial Heights, VA, US",United States of America
1549,"Wood River Junction, RI, US, United States","Wood River Junction, RI, US",United States of America
1550,"Tennessee, TN, US, United States","Tennessee, TN, US",United States of America
1551,"Centerville, VA, US, United States","Centerville, VA, US",United States of America
1552,"Whitby, CA, Canada","Whitby, CA",Canada
1553,"Franklin County, NZ, New Zealand","Franklin County, NZ",New Zealand
1554,"Villanueva de la ConcepciÃ³n, Andalusia, Spain, Spain","Villanueva de la ConcepciÃ³n, Andalusia, Spain",Spain
1555,"Medicine Hat, CA, Canada","Medicine Hat, CA",Canada
1556,"Boucherville, CA, Canada","Boucherville, CA",Canada
1557,"Pasig City, PH, Philippines","Pasig City, PH",Philippines
1558,"SÃ¶dertÃ¤lje, SE, Sweden","SÃ¶dertÃ¤lje, SE",Sweden
1559,"Slovak Republic, SK, Slovakia","Slovak Republic, SK",Slovakia
1560,"Allen Park, MI, US, United States","Allen Park, MI, US",United States of America
1561,"Montserrat, AR, United States","Montserrat, AR",United States of America
1562,"Fridley, MN, US, United States","Fridley, MN, US",United States of America
1563,"Visalia, CA, US, United States","Visalia, CA, US",United States of America
1564,"Veldhoven, NL, Netherlands","Veldhoven, NL",Netherlands
1565,"Central Falls, RI, US, United States","Central Falls, RI, US",United States of America
1566,"Olha, MB, Canada","Olha, MB",Canada
1567,"Ãrsta, Stockholm County, Sweden, Sweden","Ãrsta, Stockholm County, Sweden",Sweden
1568,"Zagreb, HR, Croatia","Zagreb, HR",Croatia
1569,"Puteaux, FR, France","Puteaux, FR",France
1570,"BraÈov, RO, Romania","BraÈov, RO",Romania
1571,"Dakar, SN, Senegal","Dakar, SN",Senegal
1572,"Guilford, IN, United States","Guilford, IN",United States of America
1573,"Bensheim, DE, Germany","Bensheim, DE",Germany
1574,"Dearborn County, IN, US, United States","Dearborn County, IN, US",United States of America
1575,"BrÃ¸nshÃ¸j, DK, Denmark","BrÃ¸nshÃ¸j, DK",Denmark
1576,"Downey, CA, US, United States","Downey, CA, US",United States of America
1577,"Ridgefield, WA, US, United States","Ridgefield, WA, US",United States of America
1578,"Dallas Ft Worth - Southlake, Texas, United States, United States","Dallas Ft Worth - Southlake, Texas, United States",United States of America
1579,"LeÃ³n Guzman, Durango, Mexico, Mexico","LeÃ³n Guzman, Durango, Mexico",Mexico
1580,"Albany, New York Metropolitan Area, United States","Albany, New York Metropolitan Area",United States of America
1581,"KrakÃ³w, Mazowieckie, Poland, Poland","KrakÃ³w, Mazowieckie, Poland",Poland
1582,"Green River, WY, United States","Green River, WY",United States of America
1583,"Pinehurst, WA, United States","Pinehurst, WA",United States of America
1584,"San JosÃ© de Maipo, Santiago Metropolitan Region, Chile, Chile","San JosÃ© de Maipo, Santiago Metropolitan Region, Chile",Chile
1585,"Abernethy, SK, Canada","Abernethy, SK",Canada
1586,"Oberried, Baden-WÃ¼rttemberg, Germany, Germany","Oberried, Baden-WÃ¼rttemberg, Germany",Germany
1587,"Dorfprozelten, Bavaria, Germany, Germany","Dorfprozelten, Bavaria, Germany",Germany
1588,"Sha Tin, Hong Kong SAR, Hong Kong","Sha Tin, Hong Kong SAR",Hong Kong
1589,"Campti, LA, United States","Campti, LA",United States of America
1590,"Melton Mowbray, England, United Kingdom, United Kingdom","Melton Mowbray, England, United Kingdom",United Kingdom
1591,"Sawtell, New South Wales, Australia, Australia","Sawtell, New South Wales, Australia",Australia
1592,"Anklesvar, Gujarat, India, India","Anklesvar, Gujarat, India",India
1593,"Al Badai, Al Qasim, Saudi Arabia, Saudi Arabia","Al Badai, Al Qasim, Saudi Arabia",Saudi Arabia
1594,"California, MD, United States","California, MD",United States of America
1595,"BrÃ¼ggen, North Rhine-Westphalia, Germany, Germany","BrÃ¼ggen, North Rhine-Westphalia, Germany",Germany
1596,"Pendleton, OR, United States","Pendleton, OR",United States of America
1597,"Ochtrup, North Rhine-Westphalia, Germany, Germany","Ochtrup, North Rhine-Westphalia, Germany",Germany
1598,"Mount Pearl Park, NL, Canada","Mount Pearl Park, NL",Canada
1599,"Essex Fells, NJ, United States","Essex Fells, NJ",United States of America
1600,"Vigevano, Lombardy, Italy, Italy","Vigevano, Lombardy, Italy",Italy
1601,"Portland, TN, United States","Portland, TN",United States of America
1602,"Yeonje District, Busan, South Korea, South Korea","Yeonje District, Busan, South Korea",South Korea
1603,"Versailles, OH, United States","Versailles, OH",United States of America
1604,"Johnson City, TN, United States","Johnson City, TN",United States of America
1605,"Kulgam, Jammu & Kashmir, India, India","Kulgam, Jammu & Kashmir, India",India
1606,"Folgeren, Friesland, Netherlands, Netherlands","Folgeren, Friesland, Netherlands",Netherlands
1607,"Decherd, TN, United States","Decherd, TN",United States of America
1608,"Tangier, VA, United States","Tangier, VA",United States of America
1609,"Spanish Fork, UT, United States","Spanish Fork, UT",United States of America
1610,"Cary, IL, United States","Cary, IL",United States of America
1611,"Zhejiang, China, China","Zhejiang, China",China
1612,"Milton, FL, United States","Milton, FL",United States of America
1613,"Millersville, MD, United States","Millersville, MD",United States of America
1614,"Fazeley, England, United Kingdom, United Kingdom","Fazeley, England, United Kingdom",United Kingdom
1615,"Jessup, MD, United States","Jessup, MD",United States of America
1616,"Offutt Air Force Base, NE, United States","Offutt Air Force Base, NE",United States of America
1617,"Newcastle, KwaZulu-Natal, South Africa, South Africa","Newcastle, KwaZulu-Natal, South Africa",South Africa
1618,"Barreiro, SetÃºbal, Portugal, Portugal","Barreiro, SetÃºbal, Portugal",Portugal
1619,"Fort Beaufort, Eastern Cape, South Africa, South Africa","Fort Beaufort, Eastern Cape, South Africa",South Africa
1620,"HÃ©bertville, QC, Canada","HÃ©bertville, QC",Canada
1621,"Dromore, Canterbury, New Zealand, New Zealand","Dromore, Canterbury, New Zealand",New Zealand
1622,"Dumaguete, Central Visayas, Philippines, Philippines","Dumaguete, Central Visayas, Philippines",Philippines
1623,"Carina Heights, Queensland, Australia, Australia","Carina Heights, Queensland, Australia",Australia
1624,"Tennessee, IL, United States","Tennessee, IL",United States of America
1625,"North, SC, United States","North, SC",United States of America
1626,"Punjgran Kalan, Punjab, Pakistan, Pakistan","Punjgran Kalan, Punjab, Pakistan",Pakistan
1627,"Bishop's Tachbrook, England, United Kingdom, United Kingdom","Bishop's Tachbrook, England, United Kingdom",United Kingdom
1628,"Bellbrook, OH, United States","Bellbrook, OH",United States of America
1629,"Pitcairn Islands, Pitcairn Islands",Pitcairn Islands,Pitcairn Islands
1630,"Pen Argyl, PA, United States","Pen Argyl, PA",United States of America
1631,"Sungai Rambai, Malacca, Malaysia, Malaysia","Sungai Rambai, Malacca, Malaysia",Malaysia
1632,"Kendal, Central Java, Indonesia, Indonesia","Kendal, Central Java, Indonesia",Indonesia
1633,"Barnard Castle, GB, United Kingdom","Barnard Castle, GB",United Kingdom
1634,"Round Rock, TX, US, United States","Round Rock, TX, US",United States of America
1635,"Danville, IL, US, United States","Danville, IL, US",United States of America
1636,"Waterloo, IA, US, United States","Waterloo, IA, US",United States of America
1637,"Rivonia, ZA, South Africa","Rivonia, ZA",South Africa
1638,"Atlantis, ZA, South Africa","Atlantis, ZA",South Africa
1639,"Sasolburg, ZA, South Africa","Sasolburg, ZA",South Africa
1640,"Dresher, PA, US, United States","Dresher, PA, US",United States of America
1641,"Boksburg, ZA, South Africa","Boksburg, ZA",South Africa
1642,"Covington, KY, US, United States","Covington, KY, US",United States of America
1643,"Naugatuck, CT, US, United States","Naugatuck, CT, US",United States of America
1644,"Cape Winelands, ZA, South Africa","Cape Winelands, ZA",South Africa
1645,"Cary, IL, US, United States","Cary, IL, US",United States of America
1646,"Union City, GA, US, United States","Union City, GA, US",United States of America
1647,"Los Ãlamos, MX, Mexico","Los Ãlamos, MX",Mexico
1648,"Carrollwood, FL, US, United States","Carrollwood, FL, US",United States of America
1649,"Richmond Hill, CA, Canada","Richmond Hill, CA",Canada
1650,"LeÃ³n, MX, Mexico","LeÃ³n, MX",Mexico
1651,"Naka District, JP, Japan","Naka District, JP",Japan
1652,"Flint, MI, US, United States","Flint, MI, US",United States of America
1653,"Lafayette, VA, US, United States","Lafayette, VA, US",United States of America
1654,"NÃ¼rnberg, DE, Germany","NÃ¼rnberg, DE",Germany
1655,"Chatsworth, CA, US, United States","Chatsworth, CA, US",United States of America
1656,"Vancouver, Canada, Canada","Vancouver, Canada",Canada
1657,"Norwalk, CA, US, United States","Norwalk, CA, US",United States of America
1658,"Jersey Village, TX, US, United States","Jersey Village, TX, US",United States of America
1659,"Fairfield, AU, Australia","Fairfield, AU",Australia
1660,"Gulf Breeze, FL, US, United States","Gulf Breeze, FL, US",United States of America
1661,"Nanaimo, CA, Canada","Nanaimo, CA",Canada
1662,"Conyers, GA, US, United States","Conyers, GA, US",United States of America
1663,"Zeeland, NL, Netherlands","Zeeland, NL",Netherlands
1664,"Fall River, MA, US, United States","Fall River, MA, US",United States of America
1665,"Stuttgart, AR, US, United States","Stuttgart, AR, US",United States of America
1666,"Ãn, SE, Sweden","Ãn, SE",Sweden
1667,"Duluth, MN, US, United States","Duluth, MN, US",United States of America
1668,"Richmond, AU, Australia","Richmond, AU",Australia
1669,"Odense, DK, Denmark","Odense, DK",Denmark
1670,"Canning Vale, AU, Australia","Canning Vale, AU",Australia
1671,"East Riding of Yorkshire, GB, United Kingdom","East Riding of Yorkshire, GB",United Kingdom
1672,"Bridgeport, PA, US, United States","Bridgeport, PA, US",United States of America
1673,"San Clemente, CA, US, United States","San Clemente, CA, US",United States of America
1674,"Saint Inigoes Shores, MD, US, United States","Saint Inigoes Shores, MD, US",United States of America
1675,"Lakewood, CO, US, United States","Lakewood, CO, US",United States of America
1676,"AmrÄvati, IN, India","AmrÄvati, IN",India
1677,"BhÄvnagar, IN, India","BhÄvnagar, IN",India
1678,"Teaneck, NJ, US, United States","Teaneck, NJ, US",United States of America
1679,"Fort Carson, CO, US, United States","Fort Carson, CO, US",United States of America
1680,"Redford, MI, US, United States","Redford, MI, US",United States of America
1681,"Laredo, TX, US, United States","Laredo, TX, US",United States of America
1682,"Toulouse, FR, France","Toulouse, FR",France
1683,"Maynard, MA, US, United States","Maynard, MA, US",United States of America
1684,"Norristown, PA, US, United States","Norristown, PA, US",United States of America
1685,"Downingtown, PA, US, United States","Downingtown, PA, US",United States of America
1686,"Flushing, NY, US, United States","Flushing, NY, US",United States of America
1687,"Norfolk, CT, US, United States","Norfolk, CT, US",United States of America
1688,"Batesville, MS, US, United States","Batesville, MS, US",United States of America
1689,"Glendale, WI, US, United States","Glendale, WI, US",United States of America
1690,"Great Falls, MT, US, United States","Great Falls, MT, US",United States of America
1691,"Victor Harbor, AU, Australia","Victor Harbor, AU",Australia
1692,"Hawthorn East, AU, Australia","Hawthorn East, AU",Australia
1693,"North Parramatta, AU, Australia","North Parramatta, AU",Australia
1694,"Abbotsford, AU, Australia","Abbotsford, AU",Australia
1695,"Rosebery, AU, Australia","Rosebery, AU",Australia
