all_data,formattedLocation,country
"Hässleholm, Skåne County, Sweden, Sweden","HÃƒÂ¤ssleholm, SkÃƒÂ¥ne County, Sweden",Sweden
"Chișinău, Chișinău, Moldova, Moldova","ChiÃ…ÂŸinÃ„Âƒu, ChiÃˆÂ™inÃ„Âƒu, Moldova",Moldova
"Freeport, PA, US","Freeport, PA",United States of America
"Coudersport, PA, US","Coudersport, PA",United States of America
"Ketsch, Baden-Württemberg, Germany, Germany","Ketsch, Baden-WÃƒÂ¼rttemberg, Germany",Germany
"Ardmore, PA, US","Ardmore, PA",United States of America
"Criciúma, Santa Catarina, Brazil, Brazil","CriciÃƒÂºma, Santa Catarina, Brazil",Brazil
"San Jose, NM, US","San Jose, NM",United States of America
"Pocomoke City, MD, US","Pocomoke City, MD",United States of America
"Horsens, Central Denmark Region, Denmark, Denmark","Horsens, Central Denmark Region, Denmark",Denmark
"Wandillup, Western Australia, Australia, Australia","Wandillup, Western Australia, Australia",Australia
"Masqaţ, Oman, Oman","MasqaÃ…Â£, Oman",Oman
"Wuhu, Anhui, China, China","Wuhu, Anhui, China",China
"Fremont, MO, US","Fremont, MO",United States of America
"Sacalum, Yucatán, Mexico, Mexico","Sacalum, YucatÃƒÂ¡n, Mexico",Mexico
"Vestnes, Møre og Romsdal, Norway, Norway","Vestnes, MÃƒÂ¸re og Romsdal, Norway",Norway
"La Mulatière, Auvergne-Rhône-Alpes, France, France","La MulatiÃƒÂ¨re, Auvergne-RhÃƒÂ´ne-Alpes, France",France
"Freiburg, Baden-Württemberg, Germany, Germany","Freiburg, Baden-WÃƒÂ¼rttemberg, Germany",Germany
"Whitwell, England, United Kingdom, United Kingdom","Whitwell, England, United Kingdom",United Kingdom
"North Killingholme, England, United Kingdom, United Kingdom","North Killingholme, England, United Kingdom",United Kingdom
"Fountain Inn, SC, US","Fountain Inn, SC",United States of America
"Rayong, Rayong, Thailand, Thailand","Rayong, Rayong, Thailand",Thailand
"Fox River Grove, IL, US","Fox River Grove, IL",United States of America
"Azzano San Paolo, Lombardy, Italy, Italy","Azzano San Paolo, Lombardy, Italy",Italy
"Tuttlingen, Baden-Württemberg, Germany, Germany","Tuttlingen, Baden-WÃƒÂ¼rttemberg, Germany",Germany
"Rothwell, England, United Kingdom, United Kingdom","Rothwell, England, United Kingdom",United Kingdom
"Lofthouse, England, United Kingdom, United Kingdom","Lofthouse, England, United Kingdom",United Kingdom
"Kocaeli, Kocaeli, Türkiye, Türkiye","Kocaeli, Kocaeli, TÃƒÂ¼rkiye",Türkiye
"Jászfényszaru, Jász-Nagykun-Szolnok, Hungary, Hungary","JÃƒÂ¡szfÃƒÂ©nyszaru, JÃƒÂ¡sz-Nagykun-Szolnok, Hungary",Hungary
"Qianzhen District, Kaohsiung City, Taiwan, Taiwan","Qianzhen District, Kaohsiung City, Taiwan",Taiwan
"Bastia, Umbria, Italy, Italy","Bastia, Umbria, Italy",Italy
"Gyál, Pest, Hungary, Hungary","GyÃƒÂ¡l, Pest, Hungary",Hungary
"Hermanus, Western Cape, South Africa, South Africa","Hermanus, Western Cape, South Africa",South Africa
"Raymondville, TX, US","Raymondville, TX",United States of America
"North Battleford, SK, CA","North Battleford, SK",United States of America
"Casalnuovo di Napoli, Campania, Italy, Italy","Casalnuovo di Napoli, Campania, Italy",Italy
"Forest, OH, US","Forest, OH",United States of America
"Hatton, England, United Kingdom, United Kingdom","Hatton, England, United Kingdom",United Kingdom
"Ouges, Bourgogne-Franche-Comté, France, France","Ouges, Bourgogne-Franche-ComtÃƒÂ©, France",France
"Karlsbad, Baden-Württemberg, Germany, Germany","Karlsbad, Baden-WÃƒÂ¼rttemberg, Germany",Germany
"Apsley End, England, United Kingdom, United Kingdom","Apsley End, England, United Kingdom",United Kingdom
"Öljersjö, Blekinge County, Sweden, Sweden","ÃƒÂ–ljersjÃƒÂ¶, Blekinge County, Sweden",Sweden
"Marcieu, Auvergne-Rhône-Alpes, France, France","Marcieu, Auvergne-RhÃƒÂ´ne-Alpes, France",France
"Meylan, Auvergne-Rhône-Alpes, France, France","Meylan, Auvergne-RhÃƒÂ´ne-Alpes, France",France
"Cumbum, Andhra Pradesh, India, India","Cumbum, Andhra Pradesh, India",India
"Umerkote, Odisha, India, India","Umerkote, Odisha, India",India
"Chikhaldara, Maharashtra, India, India","Chikhaldara, Maharashtra, India",India
"Fredericksburg, IA, US","Fredericksburg, IA",United States of America
"Tahoe City, CA, US","Tahoe City, CA",United States of America
"Maisemore, England, United Kingdom, United Kingdom","Maisemore, England, United Kingdom",United Kingdom
"Cloverdale, IN, US","Cloverdale, IN",United States of America
"Hull, QC, CA","Hull, QC",United States of America
"Siedlec, Małopolskie, Poland, Poland","Siedlec, MaÃ…Â‚opolskie, Poland",Poland
"Stockton, MB, CA","Stockton, MB",United States of America
"Kingsford, New South Wales, Australia, Australia","Kingsford, New South Wales, Australia",Australia
"Zawodzie, Śląskie, Poland, Poland","Zawodzie, Ã…ÂšlÃ„Â…skie, Poland",Poland
"Iași, Iași, Romania, Romania","IaÃ…ÂŸi, IaÃ…ÂŸi, Romania",Romania
"Ulyanovsk, Ulyanovsk, Russia, Russia","UlÃ¢Â€Â™yanovsk, UlÃ¢Â€Â™yanovsk, Russia",Russia
"Orchard Park, NY, US","Orchard Park, NY",United States of America
"Pedrengo, Lombardy, Italy, Italy","Pedrengo, Lombardy, Italy",Italy
"Fradley, England, United Kingdom, United Kingdom","Fradley, England, United Kingdom",United Kingdom
"Oberrot, Baden-Württemberg, Germany, Germany","Oberrot, Baden-WÃƒÂ¼rttemberg, Germany",Germany
"Gilbert, SC, US","Gilbert, SC",United States of America
"Walton, NE, US","Walton, NE",United States of America
"Knaresborough, England, United Kingdom, United Kingdom","Knaresborough, England, United Kingdom",United Kingdom
"Wuhan, Hubei, China, China","Wuhan, Hubei, China",China
"Kowloon City, Hong Kong SAR, Hong Kong SAR","Kowloon City, Hong Kong SAR",Hong Kong SAR
"South Wingfield, England, United Kingdom, United Kingdom","South Wingfield, England, United Kingdom",United Kingdom
"Speldhurst, England, United Kingdom, United Kingdom","Speldhurst, England, United Kingdom",United Kingdom
"Dübendorf, Zurich, Switzerland, Switzerland","DÃƒÂ¼bendorf, Zurich, Switzerland",Switzerland
"Visby, Gotland County, Sweden, Sweden","Visby, Gotland County, Sweden",Sweden
"Misterbianco, Sicily, Italy, Italy","Misterbianco, Sicily, Italy",Italy
"Ribeirão Preto, São Paulo, Brazil, Brazil","RibeirÃƒÂ£o Preto, SÃƒÂ£o Paulo, Brazil",Brazil
"Oudenaarde, Flemish Region, Belgium, Belgium","Oudenaarde, Flemish Region, Belgium",Belgium
"Milford, NH, US","Milford, NH",United States of America
"Tricesimo, Friuli-Venezia Giulia, Italy, Italy","Tricesimo, Friuli-Venezia Giulia, Italy",Italy
"Cucciago, Lombardy, Italy, Italy","Cucciago, Lombardy, Italy",Italy
"Forest Lodge, New South Wales, Australia, Australia","Forest Lodge, New South Wales, Australia",Australia
"Sabandía, Arequipa, Peru, Peru","SabandÃƒÂ­a, Arequipa, Peru",Peru
"Lake Norden, SD, US","Lake Norden, SD",United States of America
"Linkebeek, Flemish Region, Belgium, Belgium","Linkebeek, Flemish Region, Belgium",Belgium
"Kapurthala, Punjab, India, India","Kapurthala, Punjab, India",India
"Villeurbanne, Auvergne-Rhône-Alpes, France, France","Villeurbanne, Auvergne-RhÃƒÂ´ne-Alpes, France",France
"Ecorse, MI, US","Ecorse, MI",United States of America
"Santa Cruz de las Flores, Jalisco, Mexico, Mexico","Santa Cruz de las Flores, Jalisco, Mexico",Mexico
"Juárez, Chihuahua, Mexico, Mexico","JuÃƒÂ¡rez, Chihuahua, Mexico",Mexico
"Ljusdals kommun, Gävleborg County, Sweden, Sweden","Ljusdals kommun, GÃƒÂ¤vleborg County, Sweden",Sweden
"Hucknall, England, United Kingdom, United Kingdom","Hucknall, England, United Kingdom",United Kingdom
"Lewisburg, PA, US","Lewisburg, PA",United States of America
"Rothschild, WI, US","Rothschild, WI",United States of America
"Laren, North Holland, Netherlands, Netherlands","Laren, North Holland, Netherlands",Netherlands
"Leslie, Scotland, United Kingdom, United Kingdom","Leslie, Scotland, United Kingdom",United Kingdom
"Voorheesville, NY, US","Voorheesville, NY",United States of America
"Glenbrook, Auckland, New Zealand, New Zealand","Glenbrook, Auckland, New Zealand",New Zealand
"Les Ulis, Île-de-France, France, France","Les Ulis, ÃƒÂŽle-de-France, France",France
"Lint, Flemish Region, Belgium, Belgium","Lint, Flemish Region, Belgium",Belgium
"Salem, UT, US","Salem, UT",United States of America
"Bilzen, Flemish Region, Belgium, Belgium","Bilzen, Flemish Region, Belgium",Belgium
"Las Piedras, Puerto Rico, Puerto Rico","Las Piedras, Puerto Rico",Puerto Rico
"Fox Lake 162, AB, CA","Fox Lake 162, AB",United States of America
"Leonberg, Baden-Württemberg, Germany, Germany","Leonberg, Baden-WÃƒÂ¼rttemberg, Germany",Germany
"Bjerringbro, Central Denmark Region, Denmark, Denmark","Bjerringbro, Central Denmark Region, Denmark",Denmark
"Koyilandy, Kerala, India","Koyilandy, Kerala, India",India
"Bogalusa, LA, LA","Bogalusa, LA",United States of America
"Harkness, Victoria, Australia, Australia","Harkness, Victoria, Australia",Australia
"Mather, PA, PA","Mather, PA",Panama
"Pudasjärvi, North Ostrobothnia, Finland, Finland","PudasjÃƒÂ¤rvi, North Ostrobothnia, Finland",Finland
"Harrison, AR, AR","Harrison, AR",Argentina
"Rustenburg Local Municipality, North-West, South Africa, South Africa","Rustenburg Local Municipality, North-West, South Africa",South Africa
"Sant Quirze del Vallès, Catalonia, Spain, Spain","Sant Quirze del VallÃƒÂ¨s, Catalonia, Spain",Spain
"Qom Province, Iran, Iran","Qom Province, Iran",Iran
"Villa Hidalgo, San Luis Potosí, Mexico, Mexico","Villa Hidalgo, San Luis PotosÃƒÂ­, Mexico",Mexico
"Queensferry, Scotland, United Kingdom, United Kingdom","Queensferry, Scotland, United Kingdom",United Kingdom
"Millbury, OH, OH","Millbury, OH",United States of America
"Lively, ON, ON","Lively, ON",Canada
"Lima, Buenos Aires Province, Argentina, Argentina","Lima, Buenos Aires Province, Argentina",Argentina
"Bellellen, Victoria, Australia, Australia","Bellellen, Victoria, Australia",Australia
